date,selected,selected_count,cash_weight,selected_names,selected_categories
2026-02-13,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
2026-03-06,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
2026-03-20,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
2026-04-03,"159326,159583,515880",3,0.0,"电网设备ETF华夏,通信ETF富国,通信ETF国泰","其他权益主题,通信/5G,通信/5G"
2026-04-17,"159583,515050,515880",3,0.0,"通信ETF富国,通信ETF华夏,通信ETF国泰","通信/5G,通信/5G,通信/5G"
2026-04-30,"159583,515050,515880",3,0.0,"通信ETF富国,通信ETF华夏,通信ETF国泰","通信/5G,通信/5G,通信/5G"
2026-05-15,"159583,513310,515880",3,0.0,"通信ETF富国,中韩半导体ETF华泰柏瑞,通信ETF国泰","通信/5G,半导体/芯片,通信/5G"
2026-05-29,"159994,515050,515880",3,0.0,"通信ETF银华,通信ETF华夏,通信ETF国泰","通信/5G,通信/5G,通信/5G"
2026-06-12,"515880,588170,588710",3,0.0,"通信ETF国泰,科创半导体ETF华夏,科创半导体设备ETF华泰柏瑞","通信/5G,半导体/芯片,半导体/芯片"
2026-06-26,"562590,588170,588710",3,0.0,"半导体设备ETF华夏,科创半导体ETF华夏,科创半导体设备ETF华泰柏瑞","半导体/芯片,半导体/芯片,半导体/芯片"
