scenario,date,selected,selected_count,cash_weight,selected_names,selected_categories
no_category_cap,2024-01-26,"512890,515220,515450",3,0.0,"红利低波ETF华泰柏瑞,煤炭ETF国泰,红利低波50ETF南方","红利/低波/质量,周期资源,红利/低波/质量"
no_category_cap,2024-02-08,"515220,515300,515450",3,0.0,"煤炭ETF国泰,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
no_category_cap,2024-03-01,"515220,515300,515450",3,0.0,"煤炭ETF国泰,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
no_category_cap,2024-03-15,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
no_category_cap,2024-03-29,"515300,515450,561560",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,电力ETF华泰柏瑞","宽基/规模,红利/低波/质量,其他权益主题"
no_category_cap,2024-04-12,"159980,516650,561560",3,0.0,"有色ETF大成,有色金属ETF华夏,电力ETF华泰柏瑞","周期资源,周期资源,其他权益主题"
no_category_cap,2024-04-26,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
no_category_cap,2024-05-10,"159980,512040,515450",3,0.0,"有色ETF大成,价值100ETF富国,红利低波50ETF南方","周期资源,红利/低波/质量,红利/低波/质量"
no_category_cap,2024-05-24,"159980,512040,516310",3,0.0,"有色ETF大成,价值100ETF富国,银行ETF易方达","周期资源,红利/低波/质量,金融地产"
no_category_cap,2024-06-07,"515300,516310,561560",3,0.0,"300红利低波ETF嘉实,银行ETF易方达,电力ETF华泰柏瑞","宽基/规模,金融地产,其他权益主题"
no_category_cap,2024-06-21,"515300,515450,516310",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,银行ETF易方达","宽基/规模,红利/低波/质量,金融地产"
no_category_cap,2024-07-05,"515290,515300,516310",3,0.0,"银行ETF天弘,300红利低波ETF嘉实,银行ETF易方达","金融地产,宽基/规模,金融地产"
no_category_cap,2024-07-19,"515290,515300,516310",3,0.0,"银行ETF天弘,300红利低波ETF嘉实,银行ETF易方达","金融地产,宽基/规模,金融地产"
no_category_cap,2024-08-02,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2024-08-16,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2024-08-30,"510230,515290,516310",3,0.0,"金融ETF国泰,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2024-09-13,"510230,512800,516310",3,0.0,"金融ETF国泰,银行ETF华宝,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2024-09-27,"510230,512070,560090",3,0.0,"金融ETF国泰,证券保险ETF易方达,证券ETF汇添富","金融地产,金融地产,金融地产"
no_category_cap,2024-10-11,"159851,512070,512880",3,0.0,"金融科技ETF华宝,证券保险ETF易方达,证券ETF国泰","金融地产,金融地产,金融地产"
no_category_cap,2024-10-25,"159851,512070,512880",3,0.0,"金融科技ETF华宝,证券保险ETF易方达,证券ETF国泰","金融地产,金融地产,金融地产"
no_category_cap,2024-11-08,"159851,512880,512900",3,0.0,"金融科技ETF华宝,证券ETF国泰,证券ETF南方","金融地产,金融地产,金融地产"
no_category_cap,2024-11-22,"159851,159852,516510",3,0.0,"金融科技ETF华宝,软件ETF嘉实,云计算ETF易方达","金融地产,AI/机器人/计算机,AI/机器人/计算机"
no_category_cap,2024-12-06,"159851,512880,512900",3,0.0,"金融科技ETF华宝,证券ETF国泰,证券ETF南方","金融地产,金融地产,金融地产"
no_category_cap,2024-12-20,"159801,159851,512480",3,0.0,"芯片ETF广发,金融科技ETF华宝,半导体ETF国联安","半导体/芯片,金融地产,半导体/芯片"
no_category_cap,2025-01-03,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-01-17,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-01-27,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-02-14,"159851,159869,516010",3,0.0,"金融科技ETF华宝,游戏ETF华夏,游戏ETF国泰","金融地产,AI/机器人/计算机,AI/机器人/计算机"
no_category_cap,2025-02-28,"588020,588200,588290",3,0.0,"科创成长ETF易方达,科创芯片ETF嘉实,科创芯片ETF华安","宽基/规模,半导体/芯片,半导体/芯片"
no_category_cap,2025-03-14,"560280,588200,588290",3,0.0,"工程机械ETF广发,科创芯片ETF嘉实,科创芯片ETF华安","其他权益主题,半导体/芯片,半导体/芯片"
no_category_cap,2025-03-28,"588020,588200,588290",3,0.0,"科创成长ETF易方达,科创芯片ETF嘉实,科创芯片ETF华安","宽基/规模,半导体/芯片,半导体/芯片"
no_category_cap,2025-04-11,"561980,588200,588290",3,0.0,"半导体设备ETF招商,科创芯片ETF嘉实,科创芯片ETF华安","半导体/芯片,半导体/芯片,半导体/芯片"
no_category_cap,2025-04-25,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-05-09,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-05-23,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-06-06,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-06-20,"512800,515290,516310",3,0.0,"银行ETF华宝,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-07-04,"510230,515290,516310",3,0.0,"金融ETF国泰,银行ETF天弘,银行ETF易方达","金融地产,金融地产,金融地产"
no_category_cap,2025-07-18,"510210,510760,517380",3,0.0,"上证指数ETF富国,上证指数ETF国泰,创新药ETF天弘","宽基/规模,宽基/规模,医药/医疗"
no_category_cap,2025-08-01,"516080,517380,561550",3,0.0,"创新药ETF易方达,创新药ETF天弘,中证500增强ETF华泰柏瑞","医药/医疗,医药/医疗,宽基/规模"
no_category_cap,2025-08-15,"510210,510760,561550",3,0.0,"上证指数ETF富国,上证指数ETF国泰,中证500增强ETF华泰柏瑞","宽基/规模,宽基/规模,宽基/规模"
no_category_cap,2025-08-29,"159994,515050,515880",3,0.0,"通信ETF银华,通信ETF华夏,通信ETF国泰","通信/5G,通信/5G,通信/5G"
no_category_cap,2025-09-12,"159681,515050,515880",3,0.0,"创业板50ETF鹏华,通信ETF华夏,通信ETF国泰","宽基/规模,通信/5G,通信/5G"
no_category_cap,2025-09-26,"159796,561160,561910",3,0.0,"电池ETF汇添富,电池ETF富国,电池ETF招商","新能源/电力设备,新能源/电力设备,新能源/电力设备"
no_category_cap,2025-10-10,"159796,561160,561330",3,0.0,"电池ETF汇添富,电池ETF富国,矿业ETF国泰","新能源/电力设备,新能源/电力设备,其他权益主题"
no_category_cap,2025-10-24,"513310,515050,515880",3,0.0,"中韩半导体ETF华泰柏瑞,通信ETF华夏,通信ETF国泰","半导体/芯片,通信/5G,通信/5G"
no_category_cap,2025-11-07,"159796,561160,561910",3,0.0,"电池ETF汇添富,电池ETF富国,电池ETF招商","新能源/电力设备,新能源/电力设备,新能源/电力设备"
no_category_cap,2025-11-21,"159796,561160,561910",3,0.0,"电池ETF汇添富,电池ETF富国,电池ETF招商","新能源/电力设备,新能源/电力设备,新能源/电力设备"
no_category_cap,2025-12-05,"159583,515880,560860",3,0.0,"通信ETF富国,通信ETF国泰,工业有色ETF万家","通信/5G,通信/5G,周期资源"
no_category_cap,2025-12-19,"159583,515880,560860",3,0.0,"通信ETF富国,通信ETF国泰,工业有色ETF万家","通信/5G,通信/5G,周期资源"
no_category_cap,2025-12-31,"159363,159583,515880",3,0.0,"创业板人工智能ETF华宝,通信ETF富国,通信ETF国泰","AI/机器人/计算机,通信/5G,通信/5G"
no_category_cap,2026-01-16,"560860,561330,588800",3,0.0,"工业有色ETF万家,矿业ETF国泰,科创100ETF华夏","周期资源,其他权益主题,宽基/规模"
no_category_cap,2026-01-30,"513310,560860,561330",3,0.0,"中韩半导体ETF华泰柏瑞,工业有色ETF万家,矿业ETF国泰","半导体/芯片,周期资源,其他权益主题"
no_category_cap,2026-02-13,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
no_category_cap,2026-03-06,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
no_category_cap,2026-03-20,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
no_category_cap,2026-04-03,"159326,159583,515880",3,0.0,"电网设备ETF华夏,通信ETF富国,通信ETF国泰","其他权益主题,通信/5G,通信/5G"
no_category_cap,2026-04-17,"159583,515050,515880",3,0.0,"通信ETF富国,通信ETF华夏,通信ETF国泰","通信/5G,通信/5G,通信/5G"
no_category_cap,2026-04-30,"159583,515050,515880",3,0.0,"通信ETF富国,通信ETF华夏,通信ETF国泰","通信/5G,通信/5G,通信/5G"
no_category_cap,2026-05-15,"159583,513310,515880",3,0.0,"通信ETF富国,中韩半导体ETF华泰柏瑞,通信ETF国泰","通信/5G,半导体/芯片,通信/5G"
no_category_cap,2026-05-29,"159994,515050,515880",3,0.0,"通信ETF银华,通信ETF华夏,通信ETF国泰","通信/5G,通信/5G,通信/5G"
no_category_cap,2026-06-12,"515880,588170,588710",3,0.0,"通信ETF国泰,科创半导体ETF华夏,科创半导体设备ETF华泰柏瑞","通信/5G,半导体/芯片,半导体/芯片"
no_category_cap,2026-06-26,"562590,588170,588710",3,0.0,"半导体设备ETF华夏,科创半导体ETF华夏,科创半导体设备ETF华泰柏瑞","半导体/芯片,半导体/芯片,半导体/芯片"
category_cap2,2023-07-07,"515050,515450,515880",3,0.0,"通信ETF华夏,红利低波50ETF南方,通信ETF国泰","通信/5G,红利/低波/质量,通信/5G"
category_cap2,2023-07-21,"515100,515300,515450",3,0.0,"红利低波100ETF景顺,300红利低波ETF嘉实,红利低波50ETF南方","红利/低波/质量,宽基/规模,红利/低波/质量"
category_cap2,2023-08-04,"515100,515300,515450",3,0.0,"红利低波100ETF景顺,300红利低波ETF嘉实,红利低波50ETF南方","红利/低波/质量,宽基/规模,红利/低波/质量"
category_cap2,2023-08-18,"515100,515300,515450",3,0.0,"红利低波100ETF景顺,300红利低波ETF嘉实,红利低波50ETF南方","红利/低波/质量,宽基/规模,红利/低波/质量"
category_cap2,2023-09-01,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
category_cap2,2023-09-15,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
category_cap2,2023-09-28,"515100,515300,515450",3,0.0,"红利低波100ETF景顺,300红利低波ETF嘉实,红利低波50ETF南方","红利/低波/质量,宽基/规模,红利/低波/质量"
category_cap2,2023-10-20,"515300,515450,516310",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,银行ETF易方达","宽基/规模,红利/低波/质量,金融地产"
category_cap2,2023-11-03,"159732,516080,517380",3,0.0,"消费电子ETF华夏,创新药ETF易方达,创新药ETF天弘","消费,医药/医疗,医药/医疗"
category_cap2,2023-11-17,"159732,159980,515220",3,0.0,"消费电子ETF华夏,有色ETF大成,煤炭ETF国泰","消费,周期资源,周期资源"
category_cap2,2023-12-01,"512040,512290,515220",3,0.0,"价值100ETF富国,生物医药ETF国泰,煤炭ETF国泰","红利/低波/质量,医药/医疗,周期资源"
category_cap2,2023-12-15,"512040,512290,515220",3,0.0,"价值100ETF富国,生物医药ETF国泰,煤炭ETF国泰","红利/低波/质量,医药/医疗,周期资源"
category_cap2,2023-12-29,"159732,513310,515220",3,0.0,"消费电子ETF华夏,中韩半导体ETF华泰柏瑞,煤炭ETF国泰","消费,半导体/芯片,周期资源"
category_cap2,2024-01-12,"512040,512890,515220",3,0.0,"价值100ETF富国,红利低波ETF华泰柏瑞,煤炭ETF国泰","红利/低波/质量,红利/低波/质量,周期资源"
category_cap2,2024-01-26,"512890,515220,515450",3,0.0,"红利低波ETF华泰柏瑞,煤炭ETF国泰,红利低波50ETF南方","红利/低波/质量,周期资源,红利/低波/质量"
category_cap2,2024-02-08,"515220,515300,515450",3,0.0,"煤炭ETF国泰,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
category_cap2,2024-03-01,"515220,515300,515450",3,0.0,"煤炭ETF国泰,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
category_cap2,2024-03-15,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
category_cap2,2024-03-29,"515300,515450,561560",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,电力ETF华泰柏瑞","宽基/规模,红利/低波/质量,其他权益主题"
category_cap2,2024-04-12,"159980,516650,561560",3,0.0,"有色ETF大成,有色金属ETF华夏,电力ETF华泰柏瑞","周期资源,周期资源,其他权益主题"
category_cap2,2024-04-26,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
category_cap2,2024-05-10,"159980,512040,515450",3,0.0,"有色ETF大成,价值100ETF富国,红利低波50ETF南方","周期资源,红利/低波/质量,红利/低波/质量"
category_cap2,2024-05-24,"159980,512040,516310",3,0.0,"有色ETF大成,价值100ETF富国,银行ETF易方达","周期资源,红利/低波/质量,金融地产"
category_cap2,2024-06-07,"515300,516310,561560",3,0.0,"300红利低波ETF嘉实,银行ETF易方达,电力ETF华泰柏瑞","宽基/规模,金融地产,其他权益主题"
category_cap2,2024-06-21,"515300,515450,516310",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,银行ETF易方达","宽基/规模,红利/低波/质量,金融地产"
category_cap2,2024-07-05,"515290,515300,516310",3,0.0,"银行ETF天弘,300红利低波ETF嘉实,银行ETF易方达","金融地产,宽基/规模,金融地产"
category_cap2,2024-07-19,"515290,515300,516310",3,0.0,"银行ETF天弘,300红利低波ETF嘉实,银行ETF易方达","金融地产,宽基/规模,金融地产"
category_cap2,2024-08-02,"515290,515300,516310",3,0.0,"银行ETF天弘,300红利低波ETF嘉实,银行ETF易方达","金融地产,宽基/规模,金融地产"
category_cap2,2024-08-16,"159625,515290,516310",3,0.0,"绿色电力ETF嘉实,银行ETF天弘,银行ETF易方达","其他权益主题,金融地产,金融地产"
category_cap2,2024-08-30,"159732,510230,516310",3,0.0,"消费电子ETF华夏,金融ETF国泰,银行ETF易方达","消费,金融地产,金融地产"
category_cap2,2024-09-13,"159980,510230,516310",3,0.0,"有色ETF大成,金融ETF国泰,银行ETF易方达","周期资源,金融地产,金融地产"
category_cap2,2024-09-27,"510230,510810,512070",3,0.0,"金融ETF国泰,上海国企ETF汇添富,证券保险ETF易方达","金融地产,红利/低波/质量,金融地产"
category_cap2,2024-10-11,"159851,510100,512070",3,0.0,"金融科技ETF华宝,上证50ETF易方达,证券保险ETF易方达","金融地产,宽基/规模,金融地产"
category_cap2,2024-10-25,"159851,512070,512480",3,0.0,"金融科技ETF华宝,证券保险ETF易方达,半导体ETF国联安","金融地产,金融地产,半导体/芯片"
category_cap2,2024-11-08,"159851,512900,516510",3,0.0,"金融科技ETF华宝,证券ETF南方,云计算ETF易方达","金融地产,金融地产,AI/机器人/计算机"
category_cap2,2024-11-22,"159851,159852,516510",3,0.0,"金融科技ETF华宝,软件ETF嘉实,云计算ETF易方达","金融地产,AI/机器人/计算机,AI/机器人/计算机"
category_cap2,2024-12-06,"159851,512880,515230",3,0.0,"金融科技ETF华宝,证券ETF国泰,软件ETF国泰","金融地产,金融地产,AI/机器人/计算机"
category_cap2,2024-12-20,"159801,159851,512480",3,0.0,"芯片ETF广发,金融科技ETF华宝,半导体ETF国联安","半导体/芯片,金融地产,半导体/芯片"
category_cap2,2025-01-03,"515290,515450,516310",3,0.0,"银行ETF天弘,红利低波50ETF南方,银行ETF易方达","金融地产,红利/低波/质量,金融地产"
category_cap2,2025-01-17,"515290,516310,588200",3,0.0,"银行ETF天弘,银行ETF易方达,科创芯片ETF嘉实","金融地产,金融地产,半导体/芯片"
category_cap2,2025-01-27,"515290,516310,588460",3,0.0,"银行ETF天弘,银行ETF易方达,科创50增强ETF鹏华","金融地产,金融地产,宽基/规模"
category_cap2,2025-02-14,"159851,159869,516010",3,0.0,"金融科技ETF华宝,游戏ETF华夏,游戏ETF国泰","金融地产,AI/机器人/计算机,AI/机器人/计算机"
category_cap2,2025-02-28,"588020,588200,588290",3,0.0,"科创成长ETF易方达,科创芯片ETF嘉实,科创芯片ETF华安","宽基/规模,半导体/芯片,半导体/芯片"
category_cap2,2025-03-14,"560280,588200,588290",3,0.0,"工程机械ETF广发,科创芯片ETF嘉实,科创芯片ETF华安","其他权益主题,半导体/芯片,半导体/芯片"
category_cap2,2025-03-28,"588020,588200,588290",3,0.0,"科创成长ETF易方达,科创芯片ETF嘉实,科创芯片ETF华安","宽基/规模,半导体/芯片,半导体/芯片"
category_cap2,2025-04-11,"588020,588200,588290",3,0.0,"科创成长ETF易方达,科创芯片ETF嘉实,科创芯片ETF华安","宽基/规模,半导体/芯片,半导体/芯片"
category_cap2,2025-04-25,"512800,515290,563020",3,0.0,"银行ETF华宝,银行ETF天弘,红利低波ETF易方达","金融地产,金融地产,红利/低波/质量"
category_cap2,2025-05-09,"512800,515290,563020",3,0.0,"银行ETF华宝,银行ETF天弘,红利低波ETF易方达","金融地产,金融地产,红利/低波/质量"
category_cap2,2025-05-23,"512800,515290,515300",3,0.0,"银行ETF华宝,银行ETF天弘,300红利低波ETF嘉实","金融地产,金融地产,宽基/规模"
category_cap2,2025-06-06,"512800,515290,517380",3,0.0,"银行ETF华宝,银行ETF天弘,创新药ETF天弘","金融地产,金融地产,医药/医疗"
category_cap2,2025-06-20,"512800,515290,563020",3,0.0,"银行ETF华宝,银行ETF天弘,红利低波ETF易方达","金融地产,金融地产,红利/低波/质量"
category_cap2,2025-07-04,"510210,510230,515290",3,0.0,"上证指数ETF富国,金融ETF国泰,银行ETF天弘","宽基/规模,金融地产,金融地产"
category_cap2,2025-07-18,"510210,510760,517380",3,0.0,"上证指数ETF富国,上证指数ETF国泰,创新药ETF天弘","宽基/规模,宽基/规模,医药/医疗"
category_cap2,2025-08-01,"516080,517380,561550",3,0.0,"创新药ETF易方达,创新药ETF天弘,中证500增强ETF华泰柏瑞","医药/医疗,医药/医疗,宽基/规模"
category_cap2,2025-08-15,"510760,515880,561550",3,0.0,"上证指数ETF国泰,通信ETF国泰,中证500增强ETF华泰柏瑞","宽基/规模,通信/5G,宽基/规模"
category_cap2,2025-08-29,"515050,515880,515980",3,0.0,"通信ETF华夏,通信ETF国泰,人工智能ETF华富","通信/5G,通信/5G,AI/机器人/计算机"
category_cap2,2025-09-12,"159681,515050,515880",3,0.0,"创业板50ETF鹏华,通信ETF华夏,通信ETF国泰","宽基/规模,通信/5G,通信/5G"
category_cap2,2025-09-26,"159796,561160,588350",3,0.0,"电池ETF汇添富,电池ETF富国,科创创业50ETF鹏扬","新能源/电力设备,新能源/电力设备,宽基/规模"
category_cap2,2025-10-10,"159796,561160,561330",3,0.0,"电池ETF汇添富,电池ETF富国,矿业ETF国泰","新能源/电力设备,新能源/电力设备,其他权益主题"
category_cap2,2025-10-24,"513310,515050,515880",3,0.0,"中韩半导体ETF华泰柏瑞,通信ETF华夏,通信ETF国泰","半导体/芯片,通信/5G,通信/5G"
category_cap2,2025-11-07,"513310,561160,561910",3,0.0,"中韩半导体ETF华泰柏瑞,电池ETF富国,电池ETF招商","半导体/芯片,新能源/电力设备,新能源/电力设备"
category_cap2,2025-11-21,"516650,561160,561910",3,0.0,"有色金属ETF华夏,电池ETF富国,电池ETF招商","周期资源,新能源/电力设备,新能源/电力设备"
category_cap2,2025-12-05,"159583,515880,560860",3,0.0,"通信ETF富国,通信ETF国泰,工业有色ETF万家","通信/5G,通信/5G,周期资源"
category_cap2,2025-12-19,"159583,515880,560860",3,0.0,"通信ETF富国,通信ETF国泰,工业有色ETF万家","通信/5G,通信/5G,周期资源"
category_cap2,2025-12-31,"159363,159583,515880",3,0.0,"创业板人工智能ETF华宝,通信ETF富国,通信ETF国泰","AI/机器人/计算机,通信/5G,通信/5G"
category_cap2,2026-01-16,"560860,561330,588800",3,0.0,"工业有色ETF万家,矿业ETF国泰,科创100ETF华夏","周期资源,其他权益主题,宽基/规模"
category_cap2,2026-01-30,"513310,560860,561330",3,0.0,"中韩半导体ETF华泰柏瑞,工业有色ETF万家,矿业ETF国泰","半导体/芯片,周期资源,其他权益主题"
category_cap2,2026-02-13,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
category_cap2,2026-03-06,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
category_cap2,2026-03-20,"159326,513310,561380",3,0.0,"电网设备ETF华夏,中韩半导体ETF华泰柏瑞,电网设备ETF国泰","其他权益主题,半导体/芯片,其他权益主题"
category_cap2,2026-04-03,"159326,159583,515880",3,0.0,"电网设备ETF华夏,通信ETF富国,通信ETF国泰","其他权益主题,通信/5G,通信/5G"
category_cap2,2026-04-17,"159381,159583,515880",3,0.0,"创业板人工智能ETF华夏,通信ETF富国,通信ETF国泰","AI/机器人/计算机,通信/5G,通信/5G"
category_cap2,2026-04-30,"159583,515880,588400",3,0.0,"通信ETF富国,通信ETF国泰,科创创业ETF嘉实","通信/5G,通信/5G,宽基/规模"
category_cap2,2026-05-15,"159583,513310,515880",3,0.0,"通信ETF富国,中韩半导体ETF华泰柏瑞,通信ETF国泰","通信/5G,半导体/芯片,通信/5G"
category_cap2,2026-05-29,"159994,513310,515880",3,0.0,"通信ETF银华,中韩半导体ETF华泰柏瑞,通信ETF国泰","通信/5G,半导体/芯片,通信/5G"
category_cap2,2026-06-12,"515880,588170,588710",3,0.0,"通信ETF国泰,科创半导体ETF华夏,科创半导体设备ETF华泰柏瑞","通信/5G,半导体/芯片,半导体/芯片"
category_cap2,2026-06-26,"588020,588170,588710",3,0.0,"科创成长ETF易方达,科创半导体ETF华夏,科创半导体设备ETF华泰柏瑞","宽基/规模,半导体/芯片,半导体/芯片"
category_cap1,2023-07-07,"159869,515450,515880",3,0.0,"游戏ETF华夏,红利低波50ETF南方,通信ETF国泰","AI/机器人/计算机,红利/低波/质量,通信/5G"
category_cap1,2023-07-21,"515300,515450,515880",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,通信ETF国泰","宽基/规模,红利/低波/质量,通信/5G"
category_cap1,2023-08-04,"515010,515100,515300",3,0.0,"证券ETF华夏,红利低波100ETF景顺,300红利低波ETF嘉实","金融地产,红利/低波/质量,宽基/规模"
category_cap1,2023-08-18,"515010,515300,515450",3,0.0,"证券ETF华夏,300红利低波ETF嘉实,红利低波50ETF南方","金融地产,宽基/规模,红利/低波/质量"
category_cap1,2023-09-01,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
category_cap1,2023-09-15,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
category_cap1,2023-09-28,"515300,515450,516310",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,银行ETF易方达","宽基/规模,红利/低波/质量,金融地产"
category_cap1,2023-10-20,"515300,515450,516310",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,银行ETF易方达","宽基/规模,红利/低波/质量,金融地产"
category_cap1,2023-11-03,"159732,159980,517380",3,0.0,"消费电子ETF华夏,有色ETF大成,创新药ETF天弘","消费,周期资源,医药/医疗"
category_cap1,2023-11-17,"159732,159980,512290",3,0.0,"消费电子ETF华夏,有色ETF大成,生物医药ETF国泰","消费,周期资源,医药/医疗"
category_cap1,2023-12-01,"512040,512290,515220",3,0.0,"价值100ETF富国,生物医药ETF国泰,煤炭ETF国泰","红利/低波/质量,医药/医疗,周期资源"
category_cap1,2023-12-15,"512040,512290,515220",3,0.0,"价值100ETF富国,生物医药ETF国泰,煤炭ETF国泰","红利/低波/质量,医药/医疗,周期资源"
